drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
sdam_impact_score_lessthan100km,func_diverg,0.000202297,0.000194342,-0.000292694,0.000716549,-0.000186109,0.000590449,-0.000116013,0.000525413,-4.52E-05,0.000451855
Intercept,RaoQ,0.055611293,0.117067188,-0.281940666,0.359755608,-0.189892871,0.279188253,-0.145109205,0.238865297,-0.0941721,0.196707325
sppt_Est,RaoQ,-0.0301351,0.014100684,-0.065853178,0.006732346,-0.057538809,-0.002946797,-0.053006734,-0.007127658,-0.048467214,-0.011791304
stmax_Est,RaoQ,-0.005927002,0.016217017,-0.047511631,0.034630166,-0.037528782,0.025658014,-0.032576979,0.020738784,-0.02663383,0.015189977
sppt_mm_12moPrior,RaoQ,0.027450373,0.021268008,-0.026049988,0.08342318,-0.013821849,0.069347674,-0.007777354,0.062214184,-5.26E-05,0.054508901
stmax_C_12moPrior,RaoQ,0.048027043,0.028661369,-0.026443327,0.124373029,-0.008403169,0.104743731,0.000751579,0.0957891,0.011314981,0.084942099
sstrahler_streamOrder,RaoQ,0.030789573,0.010929322,0.00169611,0.058685027,0.009207226,0.052004873,0.012851975,0.048727659,0.016703929,0.044926614
saccumulation_atPoint,RaoQ,-0.026949459,0.010070148,-0.052209246,-0.001098388,-0.046668135,-0.00736552,-0.043524537,-0.010288504,-0.039888594,-0.014213974
selevation_atPoint,RaoQ,0.000442839,0.016505369,-0.041672032,0.043505801,-0.03174114,0.034064205,-0.026143252,0.02796425,-0.020364155,0.02168119
sslope_mean,RaoQ,0.018013837,0.012608285,-0.014811882,0.050249456,-0.006928005,0.042467274,-0.002630676,0.038553412,0.001866146,0.034145313
