Estimate,Est.Error,l.95..CI,u.95..CI,Rhat,Bulk_ESS,Tail_ESS,country,Response,percEstimate,percEst.Error,percQ2.5,percQ97.5
-0.007103898,0.003870857,-0.015184601,-0.000159952,1.116350741,24,13,France,F_to,-0.707872531,0.387835873,-1.506989601,-0.015993963
-0.008719687,0.003659831,-0.017111793,-0.002816818,1.081982841,34,55,Germany,F_to,-0.868178124,0.366653625,-1.696621768,-0.281285471
-0.006312495,0.003336754,-0.013619648,-0.000977188,1.125159763,31,91,Hungary,F_to,-0.629261307,0.334232692,-1.352732047,-0.097671079
-0.006110754,0.00324185,-0.012345273,0.000108259,1.098684224,32,77,Ireland,F_to,-0.609212146,0.324711005,-1.226938299,0.01082644
-0.007578602,0.003346765,-0.013702285,-0.000768875,1.144459294,22,70,Italy,F_to,-0.754995634,0.335237176,-1.360883623,-0.076857926
-0.005420185,0.00327431,-0.011839383,0.001123186,1.074751384,33,54,Latvia,F_to,-0.540552233,0.32796763,-1.176957329,0.112381674
-0.006242322,0.004857883,-0.014321917,0.003116363,1.422247253,10,49,Luxembourg,F_to,-0.622287917,0.486970116,-1.421984625,0.312122396
-0.00819012,0.003781607,-0.016151722,-0.001236295,1.138984703,24,66,Netherlands,F_to,-0.815667282,0.378876619,-1.602198198,-0.123553092
-0.008459784,0.004630486,-0.017254766,0.000506598,1.25184525,13,48,Norway,F_to,-0.842410041,0.464122336,-1.710675459,0.050672604
-0.009025474,0.004374693,-0.018354927,-0.000621172,1.418738068,10,37,Portugal,F_to,-0.898486693,0.438427577,-1.818750108,-0.062097957
-0.004445355,0.00335018,-0.011650792,0.001069826,1.038122167,43,115,Spain,F_to,-0.443548869,0.335579851,-1.158318393,0.107039805
-0.007397898,0.003985025,-0.015718068,-0.000446777,1.076285865,41,78,Sweden,F_to,-0.737060103,0.399297562,-1.559518339,-0.044667724
-0.005697968,0.003417511,-0.012037786,0.001831043,1.25712961,14,31,Switzerland,F_to,-0.568176571,0.342335725,-1.196562147,0.183272043
-0.008558085,0.004195965,-0.017082034,-0.000220314,1.48787516,9,19,United Kingdom,F_to,-0.852156873,0.420478017,-1.693696312,-0.022028927
0.000526275,0.003174598,-0.005167521,0.008109376,1.307986346,12,36,Austria,FDiv,0.077087059,0.465005039,-0.756922044,1.187835657
0.001119981,0.003054202,-0.004756486,0.006522039,1.3545294,11,39,Belgium,FDiv,0.164051201,0.447369859,-0.696714947,0.955327565
-0.000463256,0.002536236,-0.005780402,0.004395379,1.185998103,18,85,Bulgaria,FDiv,-0.06785629,0.371499758,-0.846695033,0.643821162
-0.000800524,0.002804538,-0.006773651,0.003959413,1.223783744,15,44,Cyprus,FDiv,-0.117258252,0.410799851,-0.992182968,0.579962263
0.000514231,0.002528823,-0.003925326,0.005309138,1.386628086,11,56,Czech Republic,FDiv,0.075322921,0.370414009,-0.57496936,0.777665686
0.001173888,0.002821461,-0.003867967,0.007726586,1.200202347,16,14,Denmark,FDiv,0.171947363,0.41327873,-0.566567534,1.131765767
0.00044354,0.003270229,-0.007991029,0.005752536,1.217384336,15,33,Estonia,FDiv,0.064968358,0.479012792,-1.17050058,0.842613292
0.001010078,0.00314562,-0.005645537,0.006462546,1.430009714,10,55,Finland,FDiv,0.147952999,0.460760455,-0.826940425,0.946613216
0.00154075,0.002980271,-0.003560397,0.008451729,1.336109857,12,42,France,FDiv,0.225684182,0.436540602,-0.521515596,1.237982417
